Form	75 73 104 79
subject 	152 552 196 562
to 	198 552 210 562
backup 	214 552 257 562
withholding	260 552 327 562
; 	328 552 330 562
and	333 552 356 562
3. 	81 568 92 577
I 	96 568 98 577
am 	103 568 120 577
a 	124 568 132 577
U.S. 	135 568 159 577
citizen 	163 568 200 577
or 	205 568 216 577
other 	220 568 249 577
U.S. 	253 568 277 577
person 	281 568 321 577
(	323 568 327 577
defined 	328 568 371 577
below	375 568 410 577
)	408 568 412 577
; 	413 568 415 577
and	419 568 443 577
4. 	80 581 92 591
The 	95 581 118 591
FATCA 	122 581 164 591
code	165 581 195 591
(	193 581 198 591
s	198 581 205 591
) 	204 581 207 591
entered 	211 581 255 591
on 	259 581 274 591
this 	276 581 298 591
form 	301 581 328 591
(	329 581 334 591
if 	334 581 342 591
any	344 581 367 591
) 	364 581 368 591
indicating 	371 581 428 591
that 	431 581 455 591
I 	458 581 460 591
am 	465 581 483 591
exempt 	486 581 530 591
from 	533 581 560 591
FATCA 	565 581 604 591
reporting 	609 581 660 591
is 	665 581 674 591
correct	676 581 719 591
.	719 581 722 591
Certification 	82 595 154 604
instructions	158 595 227 604
. 	227 595 229 604
You 	232 595 255 604
must 	259 595 286 604
cross 	289 595 320 604
out 	323 595 341 604
item 	345 595 367 604
2 	371 595 378 604
above 	380 595 416 604
if 	418 595 425 604
you 	427 595 447 604
have 	452 595 478 604
been 	482 595 508 604
notified 	512 595 552 604
by 	555 595 569 604
the 	573 595 590 604
IRS 	591 595 614 604
that 	616 595 638 604
you 	641 595 661 604
are 	665 595 682 604
currently 	686 595 734 604
subject 	737 595 778 604
to 	780 595 791 604
backup 	794 595 837 604
withholding 	840 595 903 604
because	907 595 955 604
you 	81 605 102 614
have 	104 605 132 614
failed 	135 605 165 614
to 	168 605 179 614
report 	183 605 215 614
all 	218 605 230 614
interest 	234 605 275 614
and 	279 605 299 614
dividends 	302 605 355 614
on 	359 605 372 614
your 	375 605 400 614
tax 	403 605 421 614
return	424 605 456 614
. 	457 605 459 614
For 	463 605 482 614
real 	485 605 503 614
estate 	508 605 541 614
transactions	544 605 612 614
, 	613 605 615 614
item 	618 605 643 614
2 	646 605 653 614
does 	655 605 685 614
not 	687 605 705 614
apply	709 605 740 614
. 	740 605 742 614
For 	745 605 765 614
mortgage 	767 605 822 614
interest 	824 605 864 614
paid	868 605 892 614
,	893 605 895 614
acquisition 	82 615 142 625
or 	145 615 156 625
abandonment 	159 615 236 625
of 	239 615 251 625
secured 	253 615 298 625
property	301 615 348 625
, 	347 615 349 625
cancellation 	353 615 419 625
of 	423 615 434 625
debt	436 615 462 625
, 	461 615 464 625
contributions 	469 615 541 625
to 	544 615 556 625
an 	559 615 571 625
individual 	575 615 627 625
retirement 	631 615 687 625
arrangement 	690 615 760 625
(	762 615 766 625
IRA	766 615 787 625
)	786 615 790 625
, 	790 615 793 625
and 	797 615 817 625
generally	820 615 871 625
, 	872 615 874 625
payments	878 615 932 625
other 	82 625 112 634
than 	114 625 139 634
interest 	142 625 182 634
and 	186 625 206 634
dividends	209 625 263 634
, 	264 625 266 634
you 	269 625 289 634
are 	293 625 310 634
not 	314 625 331 634
required 	336 625 380 634
to 	384 625 395 634
sign 	397 625 421 634
the 	424 625 441 634
certification	444 625 509 634
, 	510 625 512 634
but 	515 625 534 634
you 	537 625 557 634
must 	561 625 588 634
provide 	591 625 634 634
your 	635 625 660 634
correct 	663 625 703 634
TIN	706 625 725 634
. 	726 625 728 634
See 	732 625 754 634
the 	757 625 774 634
instructions 	777 625 842 634
for 	845 625 860 634
Part 	863 625 886 634
II	889 625 896 634
, 	897 625 898 634
later	903 625 927 634
.	928 625 930 634
Sign	80 643 117 654
Here	80 655 122 664
Signature 	148 648 207 656
of	204 648 217 656
U.S. 	148 658 173 666
person 	176 658 214 666
►	214 658 224 666
Date 	649 657 676 664
►	676 657 688 663
6/10/1998	737 645 879 666
General 	83 677 166 690
Instructions	175 677 301 690
Section 	83 698 127 705
references 	132 698 191 705
are 	196 698 214 705
to 	217 698 229 705
the 	232 698 251 705
Internal 	253 698 296 705
Revenue 	300 698 350 705
Code 	353 698 386 705
unless 	389 698 426 705
otherwise	430 698 486 705
noted	82 708 117 716
.	116 708 121 715
Future 	83 722 129 732
developments	126 722 214 732
. 	214 722 217 732
For 	221 722 240 732
the 	243 722 262 732
latest 	265 722 298 732
information 	301 722 366 732
about 	369 722 403 732
developments	406 722 487 732
related 	84 732 124 741
to 	127 732 139 741
Form 	143 732 172 741
W	176 732 189 741
-	189 732 193 741
9 	192 732 199 741
and 	204 732 226 741
its 	230 732 242 741
instructions	246 732 313 741
, 	314 732 316 741
such 	320 732 348 741
as 	351 732 365 741
legislation 	368 732 427 741
enacted	430 732 475 741
after 	84 743 111 752
they 	114 743 139 752
were 	142 743 170 752
published	174 743 230 752
, 	230 743 233 752
go 	237 743 251 752
to 	255 743 267 752
www.irs.gov/FormW9	270 743 395 752
.	395 743 399 752
Purpose 	86 759 160 773
of 	167 759 185 773
Form	192 759 238 773
An 	82 778 108 788
individual 	104 778 158 788
or 	162 778 174 788
entity 	177 778 209 788
(	211 778 215 788
Form 	216 778 245 788
W	249 778 262 788
-	262 778 266 788
9 	265 778 273 788
requester	278 778 331 788
) 	330 778 334 788
who 	338 778 363 788
is 	367 778 376 788
required 	380 778 427 788
to 	431 778 442 788
file 	446 778 463 788
an	466 778 480 788
information 	83 788 149 798
return 	154 788 187 797
with 	190 788 214 797
the 	218 788 236 797
IRS 	239 788 260 797
must 	264 788 292 797
obtain 	296 788 331 797
your 	335 788 361 797
correct 	364 788 406 797
taxpayer	409 788 459 797
identification 	85 798 158 808
number 	162 798 207 808
(	209 798 213 808
TIN	213 798 233 808
) 	232 798 236 808
which 	239 798 274 808
may 	278 798 302 808
be 	302 798 320 808
your 	323 798 349 808
social 	353 798 386 808
security 	390 798 436 808
number	439 798 483 808
(	84 809 89 819
SSN	88 809 114 819
)	114 809 118 819
, 	117 809 120 819
individual 	126 809 177 819
taxpayer 	183 809 233 819
identification 	237 809 310 819
number 	314 809 358 819
(	361 809 364 819
ITIN	365 809 387 819
)	388 809 392 819
, 	392 809 394 819
adoption	399 809 450 819
taxpayer 	84 819 135 829
identification 	139 819 212 829
number 	216 819 260 829
(	263 819 267 829
ATIN	267 819 295 829
)	295 819 299 829
, 	299 819 301 829
or 	306 819 318 829
employer 	321 819 375 829
identification 	379 819 452 829
number	456 819 500 829
(	83 830 89 839
EIN	88 829 108 839
)	108 829 113 839
, 	112 829 114 839
to 	119 829 131 839
report 	135 829 168 839
on 	173 829 186 839
an 	190 829 204 839
information 	208 829 273 839
return 	278 829 311 839
the 	314 829 333 839
amount 	336 829 380 839
paid 	384 829 409 839
to 	412 829 423 839
you	427 829 448 839
, 	449 829 450 839
or 	456 829 468 839
other	471 829 501 839
amount 	84 841 130 849
reportable 	133 841 192 849
on 	196 841 209 849
an 	213 841 228 849
information 	230 841 296 849
return	301 841 333 849
. 	334 841 336 849
Examples 	340 841 397 849
of 	400 841 412 849
information	415 841 481 849
returns 	86 851 126 859
include	130 851 171 859
, 	171 851 174 859
but 	178 851 197 859
are 	201 851 219 859
not 	223 851 241 859
limited 	245 851 282 859
to	286 851 298 859
, 	299 851 301 859
the 	305 851 323 859
following	327 851 379 859
.	378 851 382 859
• 	86 864 92 873
Form 	96 864 126 873
1099	130 864 158 873
-	159 864 162 873
INT 	164 864 184 873
(	187 864 190 873
interest 	191 864 233 873
earned 	237 864 277 873
or 	280 864 292 873
paid	296 864 320 873
)	319 864 323 873
Cat	403 894 423 900
. 	423 894 425 900
No. 	428 894 445 900
10231X	449 894 488 900
• 	535 676 543 686
Form 	547 676 577 686
1099	580 676 609 686
-	610 676 614 686
DIV 	614 676 635 686
(	637 676 641 686
dividends	643 676 697 686
, 	698 676 701 686
including 	704 676 757 686
those 	760 676 793 686
from 	797 676 823 686
stocks 	827 676 865 686
or 	869 676 881 686
mutual	883 676 922 686
funds	534 687 570 696
)	565 687 572 696
• 	537 700 543 710
Form 	548 700 577 710
1099	582 700 609 710
-	610 700 613 710
MISC 	615 700 647 710
(	650 700 653 710
various 	654 700 696 710
types 	700 700 731 710
of 	735 700 747 710
income	749 700 792 710
, 	792 700 795 710
prizes	800 700 834 710
, 	835 700 837 710
awards	841 700 883 710
, 	884 700 886 710
or 	891 700 903 710
gross	906 700 938 710
proceeds	535 710 594 719
)	586 710 594 719
• 	536 724 544 733
Form 	547 724 577 733
1099	581 724 610 733
-	610 724 615 733
B 	615 724 624 733
(	627 724 631 733
stock 	631 724 663 733
or 	666 724 678 733
mutual 	682 724 720 733
fund 	724 724 750 733
sales 	754 724 784 733
and 	788 724 808 733
certain 	813 724 853 733
other	857 724 886 733
transactions 	536 735 608 744
by 	609 735 626 744
brokers	629 735 673 744
)	671 735 676 744
• 	537 748 544 758
Form 	548 748 578 758
1099	581 748 610 758
-	611 748 615 758
S 	615 748 624 758
(	627 748 630 758
proceeds 	631 748 684 758
from 	689 748 715 758
real 	719 748 740 758
estate 	743 748 779 758
transactions	782 748 854 758
)	853 748 858 758
• 	537 762 544 772
Form 	549 762 578 772
1099	582 762 610 772
-	611 762 615 772
K 	615 762 625 772
(	627 762 631 772
merchant 	632 762 685 772
card 	690 762 715 772
and 	719 762 741 772
third 	744 762 770 772
party 	775 762 804 772
network 	808 762 854 772
transactions	858 762 929 772
)	928 762 932 772
• 	537 775 544 785
Form 	549 775 578 785
1098 	581 775 611 785
(	614 775 618 785
home 	618 775 650 785
mortgage 	654 775 709 785
interest	713 775 756 785
)	756 775 759 785
, 	760 775 763 785
1098	768 775 796 785
-	796 775 800 785
E 	801 775 809 785
(	812 775 814 785
student 	816 775 859 785
loan 	863 775 888 785
interest	892 775 935 785
)	934 775 938 785
,	938 775 942 785
1098	535 786 568 796
-	567 786 571 796
T 	571 786 581 796
(	581 786 586 796
tuition	585 786 622 796
)	621 786 625 796
• 	537 800 546 810
Form 	549 800 578 810
1099	582 800 611 810
-	612 800 616 810
C 	615 800 625 810
(	628 800 632 810
canceled 	632 800 685 810
debt	688 800 715 810
)	713 800 718 810
• 	538 814 545 824
Form 	549 814 578 824
1099	582 814 610 824
-	610 814 614 824
A 	614 814 624 824
(	626 814 629 824
acquisition 	629 814 691 824
or 	694 814 707 824
abandonment 	710 814 789 824
of 	792 814 804 824
secured 	807 814 853 824
property	857 814 906 824
)	903 814 907 824
Use 	550 827 578 837
Form 	579 827 607 837
W	611 827 624 837
-	624 827 628 837
9 	628 827 635 837
only 	640 827 664 837
if 	668 827 675 837
you 	676 827 698 837
are 	702 827 720 837
a 	724 827 731 837
U.S. 	735 827 759 837
person 	763 827 803 837
(	807 827 810 837
including 	810 827 863 837
a 	866 827 873 837
resident	878 827 924 837
alien	538 837 568 847
)	563 837 568 846
, 	569 837 571 846
to 	575 837 587 846
provide 	591 837 634 846
your 	637 837 663 846
correct 	666 837 707 846
TIN	710 837 731 846
.	733 837 735 846
If 	552 851 560 861
you 	560 851 583 861
do 	585 851 602 861
not 	606 851 625 861
return 	628 851 662 861
Form 	666 851 696 861
W	700 851 713 861
-	712 851 716 861
9 	716 851 723 861
to 	728 851 739 861
the 	743 851 760 861
requester 	765 851 820 861
with 	823 851 847 861
a 	851 851 857 861
TIN	862 851 882 861
, 	881 851 883 861
you 	887 851 909 861
might	913 851 946 861
>	947 858 954 865
be 	538 861 554 870
subject 	556 861 600 870
to 	603 861 614 870
backup 	617 861 659 870
withholding	663 861 731 870
. 	731 861 734 870
See 	738 861 760 870
What 	763 861 795 870
is 	798 861 807 870
backup 	812 861 854 870
withholding	857 861 925 870
,	925 861 928 870
later	538 873 565 880
.	563 873 566 879
Form 	823 888 849 898
W	850 888 867 898
-	867 888 873 898
9 	873 888 883 898
(	885 888 889 898
Rev. 	889 888 911 898
10-2018	916 888 957 898
)	957 888 960 898

Form	79 71 107 77
W	116 57 154 79
-	149 57 162 79
9	161 57 183 79
Request 	409 60 490 76
for 	498 61 524 75
Taxpayer	531 61 623 76
Identification 	320 76 450 91
Number 	460 77 537 91
and 	544 77 580 91
Certification	587 77 710 92
Give 	819 70 854 78
Form 	857 70 892 78
to 	896 70 911 78
the	914 70 937 78
requester	821 84 888 92
. 	888 84 891 92
Do 	895 84 916 92
not	920 84 942 92
send 	820 96 855 103
to 	859 96 873 103
the 	876 96 899 103
IRS	903 96 927 103
.	928 96 930 103
(	77 83 85 91
Rev. 	83 83 107 91
October 	108 83 150 91
2018	152 83 179 91
)	177 83 182 91
Department 	77 93 136 102
of 	137 93 148 102
the 	147 93 165 102
Treasury	166 93 208 102
Internal 	79 101 114 108
Revenue 	117 101 158 108
Service	160 101 195 109
Go 	303 102 324 111
to 	326 102 339 111
www.irs.gov/FormW9 	340 102 475 111
for 	478 102 496 111
instructions 	500 102 572 111
and 	575 102 599 111
the 	602 102 621 111
latest 	625 102 659 111
information	664 102 733 111
.	735 102 738 111
1 	121 114 128 124
Name 	132 114 164 124
(	165 114 169 124
as 	169 114 181 124
shown 	185 114 217 124
on 	221 114 233 124
your 	236 114 259 124
income 	261 114 299 124
tax 	302 114 318 124
return	321 114 349 124
)	350 114 353 124
. 	353 114 356 124
Name 	359 114 389 124
is 	393 114 400 124
required 	404 114 445 124
on 	449 114 460 124
this 	464 114 482 124
line	485 114 502 124
; 	503 114 505 124
do 	509 114 522 124
not 	525 114 541 124
leave 	545 114 571 124
this 	575 114 591 124
line 	595 114 613 124
blank	616 114 644 124
.	643 114 646 124
CORERO 	122 130 183 138
NETWORK	189 130 263 138
2 	119 142 130 151
Business 	131 142 179 151
name	182 142 210 151
/	208 142 214 151
disregarded 	213 142 274 151
entity 	277 142 305 151
name	308 142 336 151
, 	336 142 339 151
if 	342 142 349 151
different 	350 142 393 151
from 	396 142 419 151
above	422 142 454 151
Etwork 	119 157 168 165
Corer 	173 157 211 165
Plc	215 157 237 165
3 	118 172 129 182
Check 	131 172 166 182
appropriate 	168 172 227 182
box 	230 172 249 182
for 	252 172 266 182
federal 	269 172 302 182
tax 	306 172 323 182
classification 	325 172 389 182
of 	393 172 403 182
the 	406 172 422 182
person 	425 172 460 182
whose 	462 172 496 182
name 	499 172 527 182
is 	531 172 538 182
entered 	542 172 580 182
on 	584 172 596 182
line 	599 172 617 182
1. 	619 172 629 182
Check 	631 172 665 182
only 	668 172 690 182
one 	691 172 712 182
of 	715 172 725 182
the	728 172 745 182
following 	133 181 179 189
seven 	181 181 211 189
boxes	214 181 245 189
.	246 181 249 189
4 	757 174 770 183
Exemptions 	770 174 834 183
(	835 174 839 183
codes 	839 174 870 183
apply 	873 174 901 183
only 	904 174 926 183
to	928 174 938 184
certain 	760 184 794 192
entities	797 184 835 192
, 	835 184 837 192
not 	841 184 857 192
individuals	860 184 913 192
; 	914 184 916 192
see	920 184 938 192
instructions 	759 192 819 201
on 	822 192 834 201
page 	837 192 864 201
3	865 192 873 201
)	872 192 876 201
:	875 192 880 201
☐	126 198 140 209
Individual	146 202 197 211
/	196 202 201 211
sole 	201 202 224 211
proprietor 	224 202 274 211
or	277 202 288 211
☐	311 198 325 208
☑ 	427 198 440 208
C 	329 202 342 210
Corporation 	340 202 404 210
S 	446 200 455 210
Corporation	457 200 516 210
Partnership	562 203 623 211
Trust	676 203 705 210
/	701 203 709 210
estate	707 203 740 210
single	148 211 183 219
-	179 211 183 219
member 	182 211 225 219
LLC	224 211 248 219
Exempt 	756 216 798 225
payee 	799 216 830 225
code 	832 216 858 225
(	858 216 863 225
if 	862 216 869 225
any	871 216 889 225
)	888 216 892 225
☐	543 199 557 208
☐	659 199 673 209
☐	126 226 140 236
☐	125 279 139 290
Limited 	147 229 187 239
liability 	187 229 224 239
company	227 229 274 239
. 	273 229 275 239
Enter 	279 229 306 239
the 	308 229 325 239
tax 	328 229 344 239
classification 	346 229 411 239
(	415 229 418 239
C	418 229 426 239
=	427 229 432 239
C 	433 229 441 239
corporation	444 229 501 239
, 	502 229 504 239
S	508 229 516 239
=	516 229 521 239
S 	522 229 530 239
corporation	533 229 590 239
, 	592 229 594 239
P	597 229 604 239
=	604 229 610 239
Partnership	611 229 669 239
)	669 229 673 239
S	707 230 719 237
Note	146 241 175 253
: 	172 241 177 253
Check 	179 241 214 253
the 	215 241 233 253
appropriate 	234 241 293 253
box 	297 241 315 253
in 	319 241 327 253
the 	330 241 346 253
line 	348 241 367 253
above 	369 241 400 253
for 	404 241 417 253
the 	420 241 436 253
tax 	439 241 455 253
classification 	458 241 522 253
of 	526 241 536 253
the 	539 241 556 253
single	558 241 588 253
-	588 241 591 253
member 	593 241 634 253
owner	637 241 669 253
. 	669 241 671 253
Do 	674 241 693 253
not 	695 241 712 253
check	715 241 745 253
LLC 	148 251 170 260
if 	172 251 179 260
the 	181 251 198 260
LLC 	200 251 221 260
is 	224 251 233 260
classified 	236 251 282 260
as 	285 251 297 260
a 	300 251 306 260
single	309 251 339 260
-	339 251 342 260
member 	343 251 385 260
LLC 	388 251 408 260
that 	412 251 431 260
is 	434 251 443 260
disregarded 	445 251 506 260
from 	509 251 533 260
the 	535 251 552 260
owner 	555 251 586 260
unless 	589 251 621 260
the 	624 251 640 260
owner 	644 251 675 260
of 	678 251 688 260
the 	691 251 707 260
LLC 	710 251 731 260
is	734 251 745 260
another 	148 261 187 269
LLC 	190 261 209 269
that 	213 261 233 269
is 	236 261 245 269
not 	248 261 265 269
disregarded 	268 261 328 269
from 	331 261 355 269
the 	358 261 374 269
owner 	377 261 409 269
for 	411 261 425 269
U.S. 	427 261 449 269
federal 	453 261 486 269
tax 	490 261 506 269
purposes	509 261 556 269
. 	557 261 559 269
Otherwise	561 261 613 269
, 	614 261 616 269
a 	619 261 625 269
single	629 261 659 269
-	659 261 662 269
member 	663 261 705 269
LLC 	707 261 729 269
that	731 261 751 269
is 	145 269 161 278
disregarded 	158 269 220 278
from 	223 269 246 278
the 	249 269 265 278
owner 	268 269 299 278
should 	302 269 336 278
check 	339 269 370 278
the 	373 269 389 278
appropriate 	392 269 450 278
box 	453 269 472 278
for 	476 269 489 278
the 	492 269 508 278
tax 	512 269 527 278
classification 	530 269 594 278
of 	598 269 609 278
its 	611 269 623 278
owner	627 269 658 278
.	657 269 663 278
Other 	146 282 178 291
(	177 282 184 291
see 	183 282 201 291
instructions	204 282 261 291
) 	261 282 264 291
►	266 282 277 291
5 	118 294 129 303
Address 	130 294 175 303
(	176 294 180 303
number	180 294 218 303
, 	219 294 221 303
street	225 294 254 303
, 	254 294 256 303
and 	259 294 279 303
apt	281 294 298 303
. 	299 294 302 303
or 	305 294 315 303
suite 	318 294 342 303
no	345 294 358 303
.	359 294 361 303
) 	361 294 364 303
See 	367 294 386 303
instructions	390 294 448 303
.	449 294 453 303
1A 	118 309 136 317
Beech 	140 309 183 317
Avenue	186 309 240 317
6 	118 322 128 329
City	130 322 154 329
, 	152 322 154 329
state	158 322 183 329
, 	183 322 185 329
and 	189 322 208 329
ZIP 	210 322 228 329
code	232 322 258 329
Dinnington	117 336 194 348
, 	195 336 197 348
Newcastle 	202 336 273 348
upon 	278 336 312 348
Tyne	317 336 350 348
, 	351 336 354 348
NE13 	359 336 395 348
7JT	399 336 424 348
7 	117 348 127 357
List 	130 348 149 357
account 	151 348 193 357
number	195 348 234 357
(	233 348 236 357
s	236 348 243 357
) 	241 348 245 357
here 	249 348 271 357
(	273 348 277 357
optional	277 348 317 357
)	317 348 321 357
Exemption 	753 241 813 253
from 	816 242 839 253
FATCA 	844 242 879 253
reporting	882 242 928 253
code 	759 257 793 266
(	785 257 792 266
if 	791 257 798 266
any	798 257 820 266
)	814 257 822 266
(	756 284 766 290
Applies 	757 284 790 290
to 	788 284 797 290
accounts 	797 284 832 290
maintained 	834 284 875 290
outside 	876 284 903 290
the 	904 284 917 290
U.S.	919 284 933 290
)	933 284 936 290
Requester's 	653 295 715 305
name 	717 295 745 304
and 	748 295 767 304
address 	770 295 811 304
(	813 295 818 304
optional	817 295 858 304
)	857 295 860 304
008783812806EUR	397 366 526 374
, 	527 366 530 374
006193492042EUR	534 366 662 374
Part 	85 377 126 385
I	123 377 130 385
Taxpayer 	166 377 238 388
Identification 	243 377 342 388
Number 	348 377 408 388
(	412 377 418 388
TIN	417 377 443 388
)	443 377 447 388
Enter 	77 392 109 401
your 	111 392 138 401
TIN 	140 392 160 401
in 	164 392 174 401
the 	178 392 196 401
appropriate 	199 392 267 401
box	269 392 292 401
. 	293 392 295 401
The 	298 392 320 401
TIN 	323 392 343 401
provided 	347 392 397 401
must 	402 392 430 401
match 	434 392 470 401
the 	474 392 491 401
name 	496 392 527 401
given 	531 392 562 401
on 	565 392 580 401
line 	582 392 603 401
1 	608 392 613 401
to 	618 392 629 401
avoid	632 392 665 401
backup 	77 402 121 412
withholding	123 402 190 412
. 	191 402 194 412
For 	199 402 217 412
individuals	220 402 281 412
, 	282 402 284 412
this 	289 402 309 412
is 	313 402 322 412
generally 	325 402 378 412
your 	380 402 407 412
social 	410 402 443 412
security 	447 402 492 412
number 	496 402 540 412
(	543 402 547 412
SSN	546 402 572 412
)	572 402 576 412
. 	577 402 580 412
However	584 402 634 412
, 	635 402 637 412
for 	641 402 657 412
a	660 402 668 412
resident 	77 413 124 423
alien	128 413 154 423
, 	155 413 157 423
sole 	161 413 185 423
proprietor	189 413 246 423
, 	246 413 248 423
or 	252 413 264 423
disregarded 	267 413 337 423
entity	340 413 372 423
, 	372 413 375 423
see 	379 413 400 423
the 	403 413 421 423
instructions 	425 413 491 423
for 	496 413 511 423
Part 	514 413 538 423
I	541 413 544 423
, 	546 413 548 423
later	550 413 577 423
. 	578 413 580 423
For 	584 413 604 423
other	607 413 637 423
entities	77 423 120 433
, 	120 423 123 433
it 	125 423 134 433
is 	137 423 147 433
your 	149 423 175 433
employer 	179 423 233 433
identification 	236 423 308 433
number 	313 423 356 433
(	360 423 364 433
EIN	363 423 383 433
)	383 423 387 433
. 	388 423 390 433
If 	395 423 402 433
you 	405 423 426 433
do 	430 423 445 433
not 	449 423 467 433
have 	471 423 498 433
a 	502 423 509 433
number	513 423 556 433
, 	558 423 559 433
see 	564 423 584 433
How 	587 423 614 433
to 	618 423 629 433
get 	632 423 651 433
a	654 423 662 433
TIN	76 433 98 441
, 	96 433 101 441
later	105 433 130 441
.	130 433 133 441
Social 	698 393 732 401
security 	735 393 779 401
number	782 393 824 401
or	691 437 708 443
Note	75 446 109 456
: 	105 446 111 456
If 	114 446 123 456
the 	124 446 144 456
account 	146 446 194 456
is 	198 446 207 456
in 	210 446 220 456
more 	224 446 254 456
than 	256 446 281 456
one 	286 446 306 456
name	311 446 342 456
, 	343 446 346 456
see 	349 446 370 456
the 	374 446 392 456
instructions 	396 446 462 456
for 	466 446 481 456
line 	485 446 504 456
1. 	509 446 518 456
Also 	521 446 547 456
see 	552 446 571 456
What 	575 446 604 456
Name 	607 446 642 456
and	646 446 668 456
Number 	74 457 125 467
To 	127 457 142 467
Give 	144 457 171 467
the 	175 457 193 467
Requester 	197 457 257 467
for 	259 457 275 467
guidelines 	279 457 337 467
on 	340 457 355 467
whose 	358 457 396 467
number 	400 457 444 467
to 	447 457 459 467
enter	462 457 493 467
.	493 457 496 467
Employer 	697 448 750 456
identification 	754 448 823 456
number	827 448 869 456
21	697 471 733 478
0641892	767 471 919 479
Part 	82 488 122 495
II	121 488 129 495
Certification	165 487 260 496
Under 	76 502 114 511
penalties 	116 502 168 511
of 	171 502 183 511
perjury	187 502 226 511
, 	227 502 229 511
I 	233 502 239 511
certify 	240 502 276 512
that	279 502 302 512
:	301 502 305 512
1. 	77 516 87 526
The 	91 516 114 526
number 	117 516 161 526
shown 	164 516 202 526
on 	207 516 220 526
this 	224 516 245 526
form 	248 516 274 526
is 	279 516 287 526
my 	292 516 310 526
correct 	312 516 353 526
taxpayer 	356 516 407 526
identification 	411 516 483 526
number 	487 516 532 526
(	535 516 539 526
or 	538 516 550 526
I 	553 516 557 526
am 	560 516 578 526
waiting 	581 516 623 526
for 	627 516 643 526
a 	646 516 653 526
number 	657 516 701 526
to 	704 516 715 526
be 	719 516 734 526
issued 	738 516 775 526
to 	779 516 790 526
me	794 516 812 526
)	812 516 814 526
; 	814 516 817 526
and	822 516 845 526
2. 	76 527 90 538
I 	92 527 96 538
am 	99 527 117 538
not 	120 527 139 538
subject 	142 527 184 538
to 	188 527 200 538
backup 	203 527 245 538
withholding 	250 527 315 538
because	320 527 368 538
: 	368 527 371 538
(	374 527 378 538
a	378 527 387 538
) 	384 527 388 538
I 	393 527 396 538
am 	399 527 417 538
exempt 	421 527 464 538
from 	468 527 494 538
backup 	498 527 541 538
withholding	544 527 610 538
, 	612 527 615 538
or 	618 527 630 538
(	632 527 637 538
b	637 527 645 538
) 	644 527 648 538
I 	651 527 654 538
have 	659 527 686 538
not 	690 527 708 538
been 	711 527 740 538
notified 	744 527 787 538
by 	791 527 805 538
the 	808 527 827 538
Internal 	829 527 872 538
Revenue	878 527 928 538
Service 	92 538 135 547
(	138 538 142 547
IRS	142 538 162 547
) 	161 538 165 547
that 	168 538 191 547
I 	195 538 197 547
am 	201 538 219 547
subject 	223 538 265 547
to 	268 538 280 547
backup 	283 538 326 547
withholding 	330 538 396 547
as 	400 538 414 547
a 	417 538 424 547
result 	428 538 459 547
of 	463 538 475 547
a 	477 538 485 547
failure 	488 538 523 547
to 	527 538 538 547
report 	542 538 577 547
all 	580 538 593 547
interest 	596 538 638 547
or 	643 538 654 547
dividends	657 538 713 547
, 	714 538 716 547
or 	720 538 732 547
(	733 538 740 547
c	739 538 747 547
) 	745 538 749 547
the 	754 538 772 547
IRS 	776 538 796 547
has 	800 538 820 547
notified 	824 538 866 547
me 	870 538 888 547
that 	891 538 914 547
I 	918 538 920 547
am	925 538 942 547
no 	92 548 107 557
longer 	108 548 146 557
subject 	150 548 192 557
to 	195 548 207 557
backup 	209 548 253 557
withholding	256 548 323 557
; 	323 548 326 557
and	330 548 352 557
3. 	76 562 88 572
I 	92 562 95 572
am 	98 562 117 572
a 	120 562 127 572
U.S. 	130 562 154 572
citizen 	159 562 196 572
or 	199 562 211 572
other 	215 562 245 572
U.S. 	248 562 273 572
person 	277 562 316 572
(	320 562 324 572
defined 	323 562 367 572
below	370 562 405 572
)	403 562 407 572
; 	408 562 410 572
and	415 562 437 572
4. 	74 575 89 585
The 	90 575 113 585
FATCA 	118 575 158 585
code	161 575 190 585
(	189 575 193 585
s	193 575 200 585
) 	198 575 202 585
entered 	206 575 251 585
on 	254 575 268 585
this 	272 575 293 585
form 	296 575 323 585
(	325 575 330 585
if 	329 575 337 585
any	340 575 361 585
) 	359 575 363 585
indicating 	368 575 422 585
that 	427 575 449 585
I 	452 575 455 585
am 	459 575 477 585
exempt 	480 575 524 585
from 	528 576 553 586
FATCA 	559 576 599 586
reporting 	603 576 654 586
is 	659 576 668 586
correct	671 576 712 586
.	712 576 716 586
Certification 	76 590 149 600
instructions	153 590 221 600
. 	223 590 226 600
You 	227 590 250 600
must 	254 590 280 600
cross 	284 590 314 600
out 	318 590 335 600
item 	339 590 362 600
2 	365 590 372 600
above 	375 590 409 600
if 	412 590 419 600
you 	421 590 442 600
have 	445 590 472 600
been 	475 590 502 600
notified 	506 590 547 600
by 	549 590 563 600
the 	567 590 584 600
IRS 	587 590 607 600
that 	610 590 631 600
you 	634 590 654 600
are 	658 590 675 600
currently 	679 590 727 600
subject 	731 590 770 600
to 	773 590 785 600
backup 	788 590 829 600
withholding 	833 590 896 600
because	899 590 947 600
you 	76 600 97 611
have 	99 600 127 611
failed 	130 600 160 611
to 	161 600 174 611
report 	177 600 210 611
all 	213 600 225 611
interest 	229 600 270 611
and 	273 600 293 611
dividends 	297 600 350 611
on 	353 600 366 611
your 	370 600 395 611
tax 	397 600 414 611
